[M, N, K, P, kBatch]	[kTM, kTN, kTK, kTP]	cuBLAS	TiledCUDA	Ratio
[16, 16, 16, 16, 1], 	[16, 16, 16, 16], 	0.0118	0.0031	0.2641
[16, 32, 16, 32, 1], 	[16, 16, 16, 32], 	0.0118	0.0031	0.2609
[32, 64, 32, 64, 1], 	[32, 32, 32, 64], 	0.0132	0.0037	0.2829
[64, 64, 32, 64, 1], 	[32, 32, 32, 64], 	0.0132	0.0037	0.2840
[256, 128, 64, 64, 1], 	[64, 32, 64, 64], 	0.0132	0.0070	0.5310
[1024, 1024, 128, 128, 1], 	[64, 64, 128, 128], 	0.0162	0.0446	2.7564
[16, 16, 16, 16, 2], 	[16, 16, 16, 16], 	0.0231	0.0030	0.1306
[1024, 1024, 128, 128, 5], 	[64, 64, 128, 128], 	0.0843	0.0545	0.6470
[64, 256, 128, 128, 1], 	[64, 64, 128, 128], 	0.0132	0.0135	1.0272
[2048, 1024, 128, 128, 1], 	[64, 128, 128, 128], 	0.0252	0.0392	1.5572
[1024, 2048, 128, 128, 1], 	[64, 128, 128, 128], 	0.0277	0.0710	2.5638
