Whole Shape	Block Shape	threads	tiledcuda(ms)	cublass(ms)	Ratio
[4096, 4096, 4096]	[64, 64, 32]	64	6.1539	1.2100	5.086
[4096, 4096, 4096]	[64, 64, 64]	64	6.1944	1.2056	5.138
[4096, 4096, 4096]	[64, 64, 128]	64	6.2179	1.2153	5.116
[4096, 4096, 4096]	[64, 128, 32]	64	16.0449	1.1863	13.525
[4096, 4096, 4096]	[64, 128, 64]	64	16.0516	1.2030	13.343
[4096, 4096, 4096]	[64, 128, 128]	64	16.0317	1.2017	13.341
[4096, 4096, 4096]	[128, 64, 32]	64	34.3612	1.1859	28.974
[4096, 4096, 4096]	[128, 64, 64]	64	34.3641	1.1855	28.986
[4096, 4096, 4096]	[128, 64, 128]	64	34.3282	1.1156	30.772
[4096, 4096, 4096]	[128, 128, 32]	64	43.9606	1.1890	36.973
[4096, 4096, 4096]	[128, 128, 64]	64	43.9638	1.1975	36.713
[4096, 4096, 4096]	[128, 128, 128]	64	43.8760	1.2046	36.423
[4096, 4096, 4096]	[64, 64, 32]	128	7.5514	1.2042	6.271
[4096, 4096, 4096]	[64, 64, 64]	128	7.6031	1.2108	6.280
[4096, 4096, 4096]	[64, 64, 128]	128	7.5589	1.2088	6.253
[4096, 4096, 4096]	[64, 128, 32]	128	5.9347	1.2054	4.923
[4096, 4096, 4096]	[64, 128, 64]	128	5.9258	1.2070	4.910
[4096, 4096, 4096]	[64, 128, 128]	128	5.9315	1.2027	4.932
[4096, 4096, 4096]	[64, 256, 32]	128	7.4121	1.1993	6.180
[4096, 4096, 4096]	[64, 256, 64]	128	7.4522	1.1971	6.225
[4096, 4096, 4096]	[64, 256, 128]	128	7.4414	1.1952	6.226
[4096, 4096, 4096]	[128, 64, 32]	128	6.2417	1.2019	5.193
[4096, 4096, 4096]	[128, 64, 64]	128	6.2384	1.2081	5.164
[4096, 4096, 4096]	[128, 64, 128]	128	6.2397	1.2085	5.163
[4096, 4096, 4096]	[128, 128, 32]	128	15.3189	1.1975	12.792
[4096, 4096, 4096]	[128, 128, 64]	128	15.3105	1.1877	12.891
[4096, 4096, 4096]	[128, 128, 128]	128	15.3167	1.2014	12.749
[4096, 4096, 4096]	[128, 256, 32]	128	39.2934	1.2003	32.737
[4096, 4096, 4096]	[128, 256, 64]	128	39.3028	1.1962	32.856
[4096, 4096, 4096]	[128, 256, 128]	128	39.3102	1.1965	32.854
[4096, 4096, 4096]	[256, 64, 32]	128	32.5186	1.1919	27.283
[4096, 4096, 4096]	[256, 64, 64]	128	32.5142	1.2068	26.943
[4096, 4096, 4096]	[256, 64, 128]	128	32.5027	1.2186	26.672
[4096, 4096, 4096]	[256, 128, 32]	128	42.9562	1.1911	36.066
[4096, 4096, 4096]	[256, 128, 64]	128	43.0267	1.2034	35.753
[4096, 4096, 4096]	[256, 128, 128]	128	43.0297	1.1881	36.217
[4096, 4096, 4096]	[256, 256, 32]	128	61.7766	1.1975	51.589
[4096, 4096, 4096]	[256, 256, 64]	128	61.6922	1.1920	51.754
[4096, 4096, 4096]	[256, 256, 128]	128	61.7661	1.2066	51.190
[4096, 4096, 4096]	[64, 64, 32]	256	10.8212	1.2038	8.989
[4096, 4096, 4096]	[64, 64, 64]	256	10.7779	1.2155	8.867
[4096, 4096, 4096]	[64, 64, 128]	256	10.8031	1.2126	8.909
[4096, 4096, 4096]	[64, 128, 32]	256	8.5798	1.2097	7.093
[4096, 4096, 4096]	[64, 128, 64]	256	8.6512	1.2018	7.198
[4096, 4096, 4096]	[64, 128, 128]	256	8.6602	1.2073	7.173
[4096, 4096, 4096]	[64, 256, 32]	256	6.4331	1.2090	5.321
[4096, 4096, 4096]	[64, 256, 64]	256	6.4584	1.2053	5.358
[4096, 4096, 4096]	[64, 256, 128]	256	6.4544	1.1990	5.383
[4096, 4096, 4096]	[128, 64, 32]	256	10.1546	1.1891	8.540
[4096, 4096, 4096]	[128, 64, 64]	256	10.1803	1.2016	8.472
[4096, 4096, 4096]	[128, 64, 128]	256	10.1387	1.2007	8.444
[4096, 4096, 4096]	[128, 128, 32]	256	6.7015	1.2089	5.544
[4096, 4096, 4096]	[128, 128, 64]	256	6.7220	1.2141	5.536
[4096, 4096, 4096]	[128, 128, 128]	256	6.7246	1.2120	5.549
[4096, 4096, 4096]	[128, 256, 32]	256	12.9395	1.1933	10.844
[4096, 4096, 4096]	[128, 256, 64]	256	12.9427	1.1939	10.840
[4096, 4096, 4096]	[128, 256, 128]	256	12.9495	1.1963	10.825
[4096, 4096, 4096]	[256, 64, 32]	256	26.0197	1.2141	21.432
[4096, 4096, 4096]	[256, 64, 64]	256	26.0156	1.1933	21.800
[4096, 4096, 4096]	[256, 64, 128]	256	26.0235	1.1919	21.835
[4096, 4096, 4096]	[256, 128, 32]	256	27.0663	1.2170	22.240
[4096, 4096, 4096]	[256, 128, 64]	256	27.0485	1.1961	22.614
[4096, 4096, 4096]	[256, 128, 128]	256	27.0588	1.2005	22.540
[4096, 4096, 4096]	[256, 256, 32]	256	41.6591	1.2084	34.473
[4096, 4096, 4096]	[256, 256, 64]	256	41.6680	1.1910	34.985
[4096, 4096, 4096]	[256, 256, 128]	256	41.6605	1.2131	34.341
